Name,AudSD,AudSeq,AudBeat,VisSD,VisSeq,VisBeat,Musician_years of instruction ( >= 5 -> 2 ),,AudSDIntDiff (T),AudSDIntDiff (F),AudIrregIntDiff (T),AudIrregIntDiff (F),AudRegIntDiff (T),AudRegIntDiff (F),VisSDIntDiff (T),VisSDIntDiff (F),VisIrregIntDiff (T),VisIrregIntDiff (F),VisRegIntDiff (T),VisRegIntDiff (F)
37684,0.79,0.7,0.63,0.69,0.77,0.7,1,,1.85,0.84,2.81,2.92,1.74,1.82,2,0.84,2.83,2.9,1.81,1.67
39522,0.81,0.9,0.87,0.67,0.97,0.53,1,,1.86,0.69,2.86,2.7,1.77,1.75,2.09,0.74,2.82,3.5,1.81,1.71
39798,0.83,0.53,0.53,0.71,0.3,0.23,1,,1.74,1.14,2.93,2.76,1.75,1.79,1.99,0.75,2.97,2.8,1.86,1.74
41537,0.76,0.4,0.33,0.64,0.43,0.47,1,,1.74,1.3,2.95,2.78,1.9,1.7,2.04,0.91,2.81,2.88,1.79,1.75
43800,0.69,0.5,0.57,0.69,0.37,0.3,1,,2.02,0.78,2.89,2.81,1.71,1.85,1.89,1.08,2.65,2.96,1.89,1.71
45755,0.62,0.43,0.57,0.62,0.53,0.4,2,,1.93,1.17,3.02,2.71,1.76,1.77,2.03,1,2.89,2.8,1.67,1.83
45970,0.74,0.57,0.53,0.74,0.43,0.3,2,,1.78,1.24,2.91,2.76,1.75,1.79,1.78,1.23,2.76,2.91,1.78,1.76
46244,0.83,0.63,0.3,0.38,0.3,0.47,1,,1.83,0.7,2.77,2.97,1.67,1.81,1.79,1.54,2.92,2.81,1.71,1.81
47423,0.64,0.33,0.43,0.69,0.33,0.37,1,,1.99,1,2.74,2.9,1.85,1.71,1.92,1.02,3.02,2.76,2,1.63
47516,0.64,0.43,0.37,0.69,0.5,0.5,1,,1.79,1.37,2.87,2.83,1.55,1.89,1.99,0.85,2.86,2.83,1.8,1.73
48724,0.81,0.8,0.6,0.79,0.77,0.57,2,,1.82,0.88,2.9,2.63,1.83,1.67,1.82,0.99,2.94,2.53,1.82,1.69
49538,0.86,0.7,0.83,0.79,0.83,0.8,1,,1.77,0.83,2.98,2.54,1.76,1.8,1.88,0.73,2.83,2.94,1.75,1.83
49622,0.81,0.73,0.63,0.76,0.77,0.5,1,,1.83,0.81,2.85,2.85,1.68,1.91,1.86,0.92,2.93,2.56,1.8,1.73
50145,0.86,0.43,0.3,0.76,0.43,0.33,1,,1.81,0.6,2.81,2.88,1.67,1.81,1.84,0.99,2.79,2.89,1.7,1.8
50762,0.9,0.6,0.63,0.36,0.83,0.3,1,,1.72,0.88,2.81,2.9,1.74,1.82,1.42,1.76,2.86,2.78,1.78,1.76
53555,0.69,0.27,0.5,0.67,0.33,0.47,1,,1.85,1.17,2.63,2.93,1.87,1.67,1.85,1.22,2.86,2.84,1.93,1.63
53839,0.74,0.73,0.9,0.55,0.73,0.6,2,,1.84,1.07,2.8,2.98,1.78,1.67,1.92,1.3,2.82,2.92,1.78,1.75
53916,0.81,0.87,0.87,0.76,0.9,0.73,2,,1.83,0.82,2.78,3.25,1.73,2,1.92,0.74,2.81,3.17,1.86,1.5
54008,0.74,0.43,0.6,0.76,0.7,0.73,1,,1.92,0.85,2.9,2.81,1.72,1.83,1.9,0.79,2.96,2.59,1.82,1.63
55292,0.81,0.43,0.4,0.69,0.87,0.33,1,,1.77,1.06,2.92,2.79,1.83,1.72,2.01,0.82,2.84,2.9,1.6,1.85
56025,0.76,0.63,0.77,0.74,0.9,0.53,2,,1.77,1.23,2.87,2.81,1.78,1.71,1.8,1.17,2.9,2.37,1.81,1.71
56210,0.83,0.33,0.37,0.57,0.6,0.3,2,,1.78,0.93,2.82,2.86,1.82,1.74,1.96,1.21,2.87,2.82,1.89,1.71
